"VendorID","lpep_pickup_datetime","lpep_dropoff_datetime","store_and_fwd_flag","RatecodeID","PULocationID","DOLocationID","passenger_count","trip_distance","fare_amount","extra","mta_tax","tip_amount","tolls_amount","ehail_fee","improvement_surcharge","total_amount","payment_type","trip_type","congestion_surcharge"
2,2020-04-06 17:38:38.000000,2020-04-06 17:49:33.000000,"N",1,75,233,1,4.21,14.5,1,0.5,4.76,0,,0.3,23.81,1,1,2.75
2,2020-04-01 08:33:09.000000,2020-04-01 08:55:01.000000,"N",1,41,254,1,12.23,34.5,0,0.5,0,0,,0.3,35.3,2,1,0
2,2020-04-01 08:34:45.000000,2020-04-01 08:53:21.000000,"N",1,41,90,2,5.48,18.5,0,0.5,3.31,0,,0.3,27.31,1,1,2.75
2,2020-04-02 09:00:11.000000,2020-04-02 09:09:01.000000,"N",1,42,168,1,1.87,9,0,0.5,0,0,,0.3,9.8,2,1,0
2,2020-04-23 05:54:00.000000,2020-04-23 06:05:00.000000,,,213,242,,2,13.18,0,0,2.75,6.12,,0.3,22.35,,,
2,2020-04-29 07:49:20.000000,2020-04-29 08:05:47.000000,"N",1,75,143,1,3.93,15,0,0.5,0,0,,0.3,18.55,2,1,2.75
2,2020-04-12 20:27:10.000000,2020-04-12 20:34:15.000000,"N",1,75,238,1,1.68,7.5,0.5,0.5,3.46,0,,0.3,15.01,1,1,2.75
2,2020-04-23 07:04:00.000000,2020-04-23 07:16:00.000000,,,60,244,,4.57,13.12,0,0,2.75,6.12,,0.3,22.29,,,
2,2020-04-01 13:06:25.000000,2020-04-01 13:15:45.000000,"N",1,97,61,1,1.82,9,0,0.5,0,0,,0.3,9.8,2,1,0
2,2020-04-08 15:35:32.000000,2020-04-08 15:40:11.000000,"N",1,75,74,1,1.28,6,0,0.5,0,0,,0.3,6.8,2,1,0
2,2020-04-12 16:18:00.000000,2020-04-12 16:26:00.000000,,,35,61,,1.65,8,0,0,2.75,0,,0.3,11.05,,,
2,2020-04-08 16:26:00.000000,2020-04-08 16:41:00.000000,,,97,188,,2.55,8.57,0,0,2.75,0,,0.3,11.62,,,
2,2020-04-17 11:20:00.000000,2020-04-17 11:37:00.000000,,,126,185,,5.3,20.45,0,0,2.75,0,,0.3,23.5,,,
2,2020-04-06 09:52:01.000000,2020-04-06 10:08:01.000000,"N",1,42,107,1,7.42,22.5,0,0.5,5.21,0,,0.3,33.21,1,1,2.75
2,2020-04-20 09:16:35.000000,2020-04-20 10:23:08.000000,"N",1,185,60,1,4.74,40,0,0.5,2.75,0,,0.3,43.55,1,1,0
2,2020-04-10 12:44:59.000000,2020-04-11 00:00:00.000000,"N",5,76,60,1,0,43.95,0,0,0,6.12,,0.3,50.37,2,1,0
2,2020-04-10 15:42:51.000000,2020-04-10 15:42:52.000000,"N",1,264,264,1,0.01,2.5,0,0.5,0,0,,0.3,3.3,2,1,0
2,2020-04-01 20:41:21.000000,2020-04-01 20:47:26.000000,"N",1,75,141,1,1.93,7.5,0.5,0.5,0,0,,0.3,11.55,2,1,2.75
2,2020-04-17 23:27:00.000000,2020-04-17 23:31:00.000000,,,37,17,,0.66,5,0,0,0,0,,0.3,5.3,,,
2,2020-04-22 05:55:00.000000,2020-04-22 06:09:00.000000,,,18,3,,3.9,12.28,0,0,2.75,0,,0.3,15.33,,,
2,2020-04-30 07:03:55.000000,2020-04-30 07:11:56.000000,"N",1,74,166,1,1.8,8,0,0.5,1.76,0,,0.3,10.56,1,1,0
2,2020-04-30 07:27:00.000000,2020-04-30 07:42:00.000000,,,91,71,,3.04,14.83,0,0,0,0,,0.3,15.13,,,
2,2020-04-27 16:57:12.000000,2020-04-27 16:58:39.000000,"N",1,74,74,1,0.35,3.5,1,0.5,1.32,0,,0.3,6.62,1,1,0
2,2020-04-28 18:10:09.000000,2020-04-28 18:24:07.000000,"N",1,42,41,1,1.92,10.5,1,0.5,0,0,,0.3,12.3,2,1,0
2,2020-04-05 23:16:53.000000,2020-04-05 23:19:42.000000,"N",1,75,75,1,0.82,4.5,0.5,0.5,0,0,,0.3,5.8,1,1,0
2,2020-04-29 14:51:32.000000,2020-04-29 15:22:37.000000,"N",1,43,212,1,8.32,28.5,0,0.5,0,0,,0.3,29.3,2,1,0
2,2020-04-01 17:32:44.000000,2020-04-01 17:38:08.000000,"N",1,42,74,1,0.84,6,1,0.5,0.08,0,,0.3,7.88,1,1,0
2,2020-04-29 20:32:00.000000,2020-04-29 20:56:00.000000,,,82,161,,5.61,22.87,0,0,0,0,,0.3,25.92,,,
2,2020-04-29 14:02:12.000000,2020-04-29 14:11:17.000000,"N",1,152,244,1,2.72,10.5,0,0.5,2.26,0,,0.3,13.56,1,1,0
2,2020-04-04 13:25:49.000000,2020-04-04 13:47:10.000000,"N",2,74,132,1,17.17,52,0,0.5,11.78,6.12,,0.3,70.7,1,1,0
2,2020-04-02 11:54:04.000000,2020-04-02 11:57:38.000000,"N",1,56,56,1,0.76,4.5,0,0.5,0,0,,0.3,5.3,2,1,0
