"VendorID","tpep_pickup_datetime","tpep_dropoff_datetime","passenger_count","trip_distance","RatecodeID","store_and_fwd_flag","PULocationID","DOLocationID","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount","congestion_surcharge","airport_fee"
2,2020-04-26 15:34:25.000000,2020-04-26 15:39:17.000000,1,0.75,1,"N",142,143,2,5,0,0.5,0,0,0.3,8.3,2.5,
2,2020-04-30 19:21:41.000000,2020-04-30 19:51:37.000000,,9.56,,,82,39,0,44.42,0,0.5,0,0,0.3,45.22,,
2,2020-04-01 19:28:53.000000,2020-04-01 19:35:34.000000,1,1.72,1,"N",24,239,2,8,1,0.5,0,0,0.3,12.3,2.5,
2,2020-04-26 14:17:16.000000,2020-04-26 14:23:46.000000,6,0.68,1,"N",239,239,2,6,0,0.5,0,0,0.3,9.3,2.5,
1,2020-04-01 07:32:41.000000,2020-04-01 07:48:38.000000,1,0,1,"N",188,225,1,17.2,0,0.5,0,0,0.3,18,0,
1,2020-04-22 09:49:48.000000,2020-04-22 09:55:44.000000,1,1.3,1,"N",164,229,1,6.5,2.5,0.5,2,0,0.3,11.8,2.5,
2,2020-04-01 07:54:17.000000,2020-04-01 08:02:13.000000,3,2.68,1,"N",236,170,1,9.5,0,0.5,1,0,0.3,13.8,2.5,
1,2020-04-03 10:10:55.000000,2020-04-03 10:16:23.000000,1,1.1,1,"N",237,162,1,6.5,2.5,0.5,1,0,0.3,10.8,2.5,
1,2020-04-22 08:43:00.000000,2020-04-22 08:46:57.000000,2,1.4,1,"N",234,162,1,6,2.5,0.5,2.3,0,0.3,11.6,2.5,
2,2020-04-05 06:37:30.000000,2020-04-05 06:48:00.000000,1,2.95,1,"N",239,186,1,11.5,0,0.5,2.22,0,0.3,18.97,2.5,
2,2020-04-18 14:55:46.000000,2020-04-18 14:59:01.000000,1,1.52,1,"N",263,233,1,6,0,0.5,1.86,0,0.3,11.16,2.5,
2,2020-04-09 12:20:33.000000,2020-04-09 12:30:36.000000,1,3.14,1,"N",141,224,2,12,0,0.5,0,0,0.3,15.3,2.5,
2,2020-04-23 17:29:00.000000,2020-04-23 17:39:19.000000,1,2.95,1,"N",159,169,2,11,1,0.5,0,0,0.3,12.8,0,
1,2020-04-25 00:26:40.000000,2020-04-25 00:33:02.000000,,1.4,,,48,239,0,7,0.5,0.5,0.54,0,0.3,11.34,,
