"dispatching_base_num","pickup_datetime","dropOff_datetime","PUlocationID","DOlocationID","SR_Flag","Affiliated_base_number"
"B03160",2020-04-05 04:24:00.000000,2020-04-05 04:58:00.000000,14,128,,"B02879"
"B01312",2020-04-17 18:21:51.000000,2020-04-17 18:23:18.000000,264,17,,"B02865"
"B03187",2020-04-09 07:09:17.000000,2020-04-09 07:09:36.000000,168,168,,"B03187"
"B01536",2020-04-22 13:14:56.000000,2020-04-22 13:24:39.000000,264,126,,"B01536"
"B01124         ",2020-04-30 10:21:14.000000,2020-04-30 10:33:12.000000,129,92,,"B01124         "
"B01051",2020-04-04 14:34:08.000000,2020-04-04 14:41:54.000000,,247,,"B01051"
"B00937",2020-04-18 12:48:59.000000,2020-04-18 12:59:37.000000,264,75,,"B00937"
"B00271",2020-04-07 03:55:48.000000,2020-04-07 04:11:15.000000,264,143,,"B00271"
"B00037",2020-04-01 13:12:52.000000,2020-04-01 13:19:44.000000,264,177,,"B02871"
"B02735",2020-04-04 08:58:48.000000,2020-04-04 09:12:44.000000,,94,,"B02872"
"B02782",2020-04-23 11:20:00.000000,2020-04-23 11:28:00.000000,,,,"B02782"
"B02901",2020-04-07 05:45:28.000000,2020-04-07 05:51:08.000000,264,74,,"B02901"
"B01469",2020-04-29 06:46:17.000000,2020-04-29 06:52:19.000000,264,35,,"B02867"
"B02782",2020-04-20 09:49:00.000000,2020-04-20 09:57:00.000000,,,,"B02782"
"B01437",2020-04-24 07:35:59.000000,2020-04-24 07:49:01.000000,264,216,,"B03227"
"B03015",2020-04-15 09:20:18.000000,2020-04-15 09:27:03.000000,264,95,,"B03015"
"B01051",2020-04-23 08:48:35.000000,2020-04-23 08:56:14.000000,,60,,"B01051"
"B02947",2020-04-10 09:30:00.000000,2020-04-10 09:55:39.000000,213,265,,"B02947"
"B02021",2020-04-12 08:51:52.000000,2020-04-12 09:02:52.000000,264,91,,"B02245"
"B02794",2020-04-17 11:08:17.000000,2020-04-17 11:17:26.000000,264,72,,"B02492"
"B00706",2020-04-29 10:03:31.000000,2020-04-29 10:51:18.000000,206,23,,"B00706"
"B01300",2020-04-14 20:55:15.000000,2020-04-14 21:05:36.000000,,74,,"B01300"
"B03016",2020-04-29 16:56:15.000000,2020-04-29 17:05:46.000000,,81,,"B02847"
"B00821",2020-04-16 05:23:45.000000,2020-04-16 05:55:46.000000,264,214,,"B01739"
"B00256",2020-04-10 17:04:56.000000,2020-04-10 18:59:45.000000,264,264,,"B00256"
"B01315",2020-04-23 21:22:17.000000,2020-04-23 21:36:32.000000,264,116,,"B01315"
"B01051",2020-04-04 14:53:54.000000,2020-04-04 15:00:10.000000,,147,,"B01051"
"B01145",2020-04-03 20:56:23.000000,2020-04-03 21:08:14.000000,264,241,,"B02682"
"B02905",2020-04-13 09:37:16.000000,2020-04-13 09:48:24.000000,,26,,"B02905"
"B03187",2020-04-07 08:36:38.000000,2020-04-07 08:36:56.000000,259,144,,"B03187"
"B02509",2020-04-04 06:04:28.000000,2020-04-04 06:10:35.000000,264,35,,"B02509"
"B01485",2020-04-24 08:11:10.000000,2020-04-24 08:17:32.000000,264,188,,"B01485"
"B01362",2020-04-01 10:51:50.000000,2020-04-01 11:04:10.000000,264,168,,"B01362"
"B00900",2020-04-13 13:39:07.000000,2020-04-13 14:00:50.000000,264,197,,"B00900"
"B03171",2020-04-23 14:18:42.000000,2020-04-23 14:30:34.000000,,129,,"B01455"
"B02552",2020-04-30 08:58:56.000000,2020-04-30 09:07:01.000000,242,242,,"B02534"
"B02162",2020-04-08 10:15:49.000000,2020-04-08 10:28:56.000000,264,35,,"1UBER"
"B03160",2020-04-02 06:44:00.000000,2020-04-02 06:51:00.000000,182,242,,"B02870"
"B01338",2020-04-25 05:37:21.000000,2020-04-25 05:44:59.000000,,69,,"B01338"
"B00706",2020-04-24 11:21:33.000000,2020-04-24 11:27:12.000000,206,206,,"B00706"
"B02534",2020-04-27 08:00:00.000000,2020-04-27 08:22:00.000000,265,168,,"B02534"
"B00900",2020-04-28 07:42:33.000000,2020-04-28 07:46:12.000000,264,197,,"B00900"
"B02826",2020-04-23 23:03:55.000000,2020-04-23 23:09:11.000000,,17,,"B02826"
"B01145",2020-04-16 21:58:36.000000,2020-04-16 22:04:52.000000,264,212,,"B02875"
"B02968",2020-04-30 06:36:03.000000,2020-04-30 06:43:16.000000,264,242,,"B02968"
"B00821",2020-04-10 19:34:33.000000,2020-04-10 19:38:47.000000,264,63,,"B00821"
"B00647",2020-04-09 06:46:15.000000,2020-04-09 06:59:32.000000,264,136,,"B00647"
"B03160",2020-04-13 05:24:00.000000,2020-04-13 05:29:00.000000,142,151,,"B02569"
"B02144",2020-04-29 10:00:00.000000,2020-04-29 10:40:00.000000,,,,"B02144"
"B03257",2020-04-29 16:26:06.000000,2020-04-29 16:30:11.000000,,108,,"B02844"
"B01300",2020-04-03 13:59:15.000000,2020-04-03 14:19:46.000000,,167,,"B01300"
"B01339",2020-04-24 14:06:00.000000,2020-04-24 14:15:05.000000,,244,,"B01339"
"B01899",2020-04-22 10:18:44.000000,2020-04-22 10:30:53.000000,264,264,,"B02110"
"B02550",2020-04-20 05:48:16.000000,2020-04-20 06:22:26.000000,,157,,"B02550"
"B03016",2020-04-17 13:15:50.000000,2020-04-17 13:27:32.000000,,182,,"B03016"
"B01420",2020-04-02 10:55:00.000000,2020-04-02 11:04:00.000000,,,,"B01420"
"B00037",2020-04-03 06:48:28.000000,2020-04-03 07:02:11.000000,264,222,,"B00037"
"B02947",2020-04-27 12:00:25.000000,2020-04-27 12:27:58.000000,265,244,,"B02947"
"B03017",2020-04-22 13:36:30.000000,2020-04-22 13:50:11.000000,78,3,,"B03017"
"B00821",2020-04-22 23:11:28.000000,2020-04-22 23:13:47.000000,264,35,,"B00821"
"B00014",2020-04-23 13:34:37.000000,2020-04-23 15:14:08.000000,,,,"B00014"
"B03060",2020-04-16 08:43:07.000000,2020-04-16 08:48:57.000000,264,55,,"B03060"
"B01710",2020-04-06 06:30:41.000000,2020-04-06 06:44:28.000000,264,264,,"B01710"
"B01145",2020-04-03 13:29:23.000000,2020-04-03 13:32:36.000000,264,247,,"B02884"
"B03060",2020-04-26 21:08:30.000000,2020-04-26 21:12:28.000000,264,123,,"B03060"
"B01417",2020-04-29 08:04:53.000000,2020-04-29 08:16:56.000000,264,264,,"B01417"
"B02546",2020-04-24 21:43:39.000000,2020-04-24 21:54:23.000000,264,168,,"B02546"
"B03002",2020-04-28 12:27:11.000000,2020-04-28 12:58:47.000000,,107,,"B03002"
"B00449",2020-04-30 15:39:43.000000,2020-04-30 16:03:47.000000,149,14,,"B01751"
"B02550",2020-04-28 14:03:00.000000,2020-04-28 14:27:12.000000,,157,,"B02869"
"B01469",2020-04-18 00:51:38.000000,2020-04-18 01:06:06.000000,264,102,,"B01469"
"B02550",2020-04-20 09:01:42.000000,2020-04-20 09:29:55.000000,,140,,"B02865"
"B02110",2020-04-17 04:09:00.000000,2020-04-17 04:19:20.000000,264,264,,"B02865"
"B03187",2020-04-24 10:01:33.000000,2020-04-24 11:45:51.000000,35,41,,"B03187"
"B00856",2020-04-06 14:53:41.000000,2020-04-06 15:00:16.000000,264,222,,"B03036"
"B02243",2020-04-17 15:32:25.000000,2020-04-17 15:41:00.000000,75,74,,"B02243"
"B01145",2020-04-11 21:34:13.000000,2020-04-11 21:43:22.000000,264,235,,"B02765"
"B01285",2020-04-16 10:39:01.000000,2020-04-16 10:50:58.000000,264,235,,"B01285"
"B01984",2020-04-21 05:59:00.000000,2020-04-21 06:05:00.000000,,228,,"B01984"
"B02437",2020-04-08 15:09:41.000000,2020-04-08 15:11:51.000000,264,247,,"B02437"
"B01145",2020-04-14 23:29:15.000000,2020-04-14 23:35:45.000000,264,174,,"B00221"
"B00855",2020-04-18 06:00:00.000000,2020-04-18 06:20:00.000000,86,117,,"B00855"
"B02550",2020-04-17 11:41:38.000000,2020-04-17 12:08:35.000000,,123,,"B02550"
"B01233",2020-04-29 05:34:04.000000,2020-04-29 05:36:25.000000,264,147,,"B01233"
"B01536",2020-04-07 09:11:37.000000,2020-04-07 09:19:23.000000,264,235,,"B01536"
"B02416",2020-04-03 18:48:41.000000,2020-04-03 19:07:53.000000,,,,
"B03160",2020-04-10 15:27:00.000000,2020-04-10 15:43:00.000000,41,69,,"B02569"
"B02735",2020-04-09 20:39:37.000000,2020-04-09 21:06:27.000000,,119,,"B01313"
"B02735",2020-04-15 07:04:24.000000,2020-04-15 07:16:54.000000,,200,,"B02735"
"B00789",2020-04-14 15:32:00.000000,2020-04-14 16:03:51.000000,,,,"B00789"
"B00900",2020-04-25 14:39:51.000000,2020-04-25 14:52:30.000000,264,160,,"B00900"
"B00457",2020-04-29 10:19:49.000000,2020-04-29 10:25:52.000000,,244,,"B00457"
"B01145",2020-04-05 02:06:32.000000,2020-04-05 02:18:35.000000,264,42,,"B02836"
"B02537",2020-04-19 13:11:44.000000,2020-04-19 13:17:03.000000,,241,,"B02537"
"B01145",2020-04-18 12:21:25.000000,2020-04-18 12:36:16.000000,264,47,,"B02971"
"B01145",2020-04-09 17:56:41.000000,2020-04-09 18:12:56.000000,264,42,,"B02875"
"B00310",2020-04-23 13:46:09.000000,2020-04-23 13:57:53.000000,264,78,,"B03047"
"B01239",2020-04-14 02:16:18.000000,2020-04-14 02:28:11.000000,,69,,"B02765"
"B00477",2020-04-15 16:21:40.000000,2020-04-15 17:10:44.000000,88,265,,"B00477"
"B02461",2020-04-28 22:19:09.000000,2020-04-28 22:37:21.000000,264,254,,"B02461"
"B02930",2020-04-29 18:55:34.000000,2020-04-29 19:09:53.000000,264,78,,"B02930"
"B01233",2020-04-27 12:55:19.000000,2020-04-27 13:01:07.000000,264,81,,"B01233"
"B00856",2020-04-13 10:35:31.000000,2020-04-13 10:40:32.000000,264,76,,"B02872"
"B01239",2020-04-21 14:30:23.000000,2020-04-21 14:36:08.000000,,51,,"B02882"
"B02735",2020-04-10 00:50:38.000000,2020-04-10 01:01:47.000000,,81,,"B02888"
"B01328",2020-04-20 04:44:00.000000,2020-04-20 05:05:00.000000,37,212,,"B02534"
"B01051",2020-04-14 06:39:10.000000,2020-04-14 06:43:47.000000,,18,,"B01051"
"B01710",2020-04-26 10:25:19.000000,2020-04-26 10:31:30.000000,264,264,,"B01710"
"B02550",2020-04-16 13:49:17.000000,2020-04-16 13:56:38.000000,,20,,"B03136"
"B01958",2020-04-04 10:25:00.000000,2020-04-04 10:48:00.000000,,,,"B02878"
"B01239",2020-04-28 11:01:40.000000,2020-04-28 11:16:43.000000,,47,,"B01239"
"B01259",2020-04-18 11:42:32.000000,2020-04-18 11:59:36.000000,264,77,,"B01259"
"B02794",2020-04-06 01:16:09.000000,2020-04-06 01:24:09.000000,264,61,,"B02520"
"B02461",2020-04-29 16:00:53.000000,2020-04-29 16:05:00.000000,264,214,,"B02461"
"B01454",2020-04-24 23:35:02.000000,2020-04-24 23:52:16.000000,264,188,,"B01454"
"B03166",2020-04-27 10:35:35.000000,2020-04-27 11:07:41.000000,67,140,,"B03166"
"B01145",2020-04-01 23:45:11.000000,2020-04-01 23:49:09.000000,264,159,,"B02864"
"B02003",2020-04-22 04:48:16.000000,2020-04-22 06:33:44.000000,,,,"B02003"
"B01470         ",2020-04-15 15:31:12.000000,2020-04-15 16:09:44.000000,191,19,,"B01470         "
"B00296",2020-04-24 21:47:46.000000,2020-04-24 22:23:25.000000,,,,"B00296"
"B03017",2020-04-16 16:01:19.000000,2020-04-16 16:11:09.000000,213,235,,"B03017"
"B02243",2020-04-20 07:33:46.000000,2020-04-20 08:02:22.000000,212,228,,"B02243"
"B01196",2020-04-16 13:58:04.000000,2020-04-16 14:09:14.000000,264,213,,"B01196"
